slack,micro_loss,macro_loss,setup
0.0,0.28006275381007073,0.28351760514547253,odds macro
0.001,0.27291900710822625,0.2756215600021711,odds macro
0.002,0.2657752598219534,0.26772551420774726,odds macro
0.003,0.26076977168133963,0.2621077401730372,odds macro
0.004,0.25900141717514136,0.2604432992559029,odds macro
0.005,0.258324608922725,0.25973947562045807,odds macro
0.006,0.2577127071915266,0.259110671674483,odds macro
0.007,0.25714786602960116,0.2585303314391114,odds macro
0.008,0.25658302487029916,0.2579499912050517,odds macro
0.009000000000000001,0.25601818351348127,0.2573696508063884,odds macro
0.01,0.2554533425417228,0.2567893108030185,odds macro
0.011,0.25488850138887964,0.2562089705017585,odds macro
0.012,0.25432366022856345,0.25562863026748095,odds macro
0.013000000000000001,0.25375986746105383,0.2550499801244961,odds macro
0.014,0.25320237593958583,0.2544814881256301,odds macro
0.015,0.2526448844244944,0.2539129961336348,odds macro
0.016,0.2520873929120706,0.25334450414419896,odds macro
0.017,0.25152990140109677,0.25277601215617396,odds macro
0.018000000000000002,0.25097975873440936,0.25221517297764506,odds macro
0.019,0.2504322726029139,0.2516571002121113,odds macro
0.02,0.24988478712270568,0.2510990281836448,odds macro
0.021,0.24933730036952906,0.25054095471376026,odds macro
0.022,0.24879004630726054,0.24998309373431682,odds macro
0.023,0.24829062261691615,0.24946888254069677,odds macro
0.024,0.2477911958972917,0.24895466762725593,odds macro
0.025,0.2472917706927671,0.24844045457434716,odds macro
0.026000000000000002,0.24679234549367746,0.24792624152834675,odds macro
0.027,0.24629292028211824,0.24741202846772237,odds macro
0.028,0.24579349517609572,0.2468978155416265,odds macro
0.029,0.24529573318913045,0.24638864228390545,odds macro
0.03,0.244799942565616,0.2458852748695851,odds macro
0.031,0.2443051097919049,0.2453828933581127,odds macro
0.032,0.24381027716309478,0.24488051201767003,odds macro
0.033,0.2433154447672794,0.24437813107049844,odds macro
0.034,0.24282061237497654,0.2438757501289076,odds macro
0.035,0.2423681019378634,0.24341182178375065,odds macro
0.036000000000000004,0.24193459772525305,0.24296516196384377,odds macro
0.037,0.24150109351752347,0.242518502149073,odds macro
0.038,0.2410675893248515,0.2420718423504593,odds macro
0.039,0.24063408514832607,0.24162518256903265,odds macro
0.04,0.2402005809677591,0.24117852278326102,odds macro
0.041,0.2397670767883361,0.2407318629987394,odds macro
0.042,0.2393335726117225,0.2402852032171955,odds macro
0.043000000000000003,0.23890006843767586,0.23983854343836053,odds macro
0.044,0.2384665642755711,0.23939188367200004,odds macro
0.045,0.23803306009137248,0.23894522388258732,odds macro
0.046,0.23759955591511595,0.23849856410149595,odds macro
0.047,0.23716605173432093,0.23805190431572432,odds macro
0.048,0.23673254755929252,0.2376052445360306,odds macro
0.049,0.23629904369756127,0.23715858507470222,odds macro
0.05,0.23588314207219696,0.2367302491439668,odds macro
0.051000000000000004,0.23549721405799318,0.23633311502491083,odds macro
0.052000000000000005,0.23511128606635856,0.23593598094122825,odds macro
0.053,0.23472535804585715,0.2355388468232199,odds macro
0.054,0.23433943001520208,0.23514171269553097,odds macro
0.055,0.23395350198270626,0.23474457856613729,odds macro
0.056,0.2335675739499603,0.23434744443642896,odds macro
0.057,0.23318164591818114,0.23395031030761904,odds macro
0.058,0.23279571789095677,0.2335531761829195,odds macro
0.059000000000000004,0.23240978986357064,0.23315604205812468,odds macro
0.06,0.23202386183579116,0.23275890793306586,odds macro
0.061,0.23163793380824615,0.23236177380840617,odds macro
0.062,0.23125200578443472,0.23196463968778835,odds macro
0.063,0.23086607775958634,0.2315675055654155,odds macro
0.064,0.23048014973592768,0.23117037144439778,odds macro
0.065,0.23009422171365257,0.23077323732483368,odds macro
0.066,0.2297082937011643,0.23037610321536972,odds macro
0.067,0.22932236568477782,0.22997896910204552,odds macro
0.068,0.228936437661297,0.22958183498130746,odds macro
0.069,0.22855050963467993,0.22918470085710718,odds macro
0.07,0.22816458164386721,0.2287875667701702,odds macro
0.07100000000000001,0.22777865366150185,0.2283904326928088,odds macro
0.07200000000000001,0.22739272564785173,0.22799329858340345,odds macro
0.073,0.22700679762357434,0.2275961644641682,odds macro
0.074,0.22662086959670957,0.2271990303441963,odds macro
0.075,0.22623494158131363,0.22680189623900449,odds macro
