slack,micro_loss,macro_loss,max_acc_diff,max_mean_tpr_diff,max_mean_j_diff,adj,setup
0.20600000000000002,0.26100795800138443,0.32367581410289425,0.060218460854522204,0.020516746732275565,0.057606468312859725,1,demographic_parity micro
0.20700000000000002,0.2610079579952398,0.32367581407869983,0.06021846089563854,0.02051674677365369,0.05760646837760408,1,demographic_parity micro
0.20800000000000002,0.2610079579890151,0.3236758140541772,0.06021846093730654,0.020516746815564053,0.05760646844321071,1,demographic_parity micro
0.209,0.26100795798271204,0.3236758140293391,0.06021846097950034,0.020516746857982254,0.057606468509642315,1,demographic_parity micro
0.21,0.2610079579763349,0.3236758140041984,0.06021846102219974,0.02051674690088734,0.05760646857686306,1,demographic_parity micro
0.211,0.2610079579698855,0.32367581397876866,0.06021846106537798,0.020516746944253133,0.0576064686448338,1,demographic_parity micro
0.212,0.2610079579633686,0.3236758139530641,0.06021846110901352,0.02051674698805685,0.057606468713516566,1,demographic_parity micro
0.213,0.261007957956786,0.3236758139270982,0.06021846115308105,0.020516747032273446,0.0576064687828719,1,demographic_parity micro
0.214,0.2610079579501422,0.32367581390088596,0.060218461197555584,0.020516747076877135,0.057606468852859916,1,demographic_parity micro
0.215,0.261007957943439,0.3236758138744408,0.060218461242413146,0.020516747121843388,0.05760646892344109,1,demographic_parity micro
0.216,0.2610079579366804,0.3236758138477782,0.06021846128762698,0.02051674716714495,0.057606468994572925,1,demographic_parity micro
0.217,0.2610079579298705,0.3236758138209135,0.0602184613331741,0.020516747212756797,0.057606469066215395,1,demographic_parity micro
0.218,0.26100795792301246,0.323675813793861,0.06021846137902831,0.020516747258652563,0.05760646913832682,1,demographic_parity micro
0.219,0.26100795791612186,0.3236758137666844,0.060218461425083136,0.020516747304726246,0.057606469210739863,1,demographic_parity micro
0.22,0.2610079579108586,0.32367581374611987,0.06021846146016874,0.020516747339677437,0.05760646926565579,1,demographic_parity micro
0.221,0.2610079579064809,0.32367581372914633,0.06021846148928689,0.020516747368587607,0.057606469311066354,1,demographic_parity micro
0.222,0.26100795790193165,0.32367581371146326,0.060218461519570665,0.020516747398674557,0.057606469358336986,1,demographic_parity micro
0.223,0.26100795789744147,0.32367581369382925,0.06021846154984345,0.02051674742874408,0.05760646940561509,1,demographic_parity micro
0.224,0.2610079578937866,0.32367581367874065,0.06021846157625699,0.020516747454894586,0.057606469446839524,1,demographic_parity micro
0.225,0.261007957889953,0.3236758136629536,0.06021846160379474,0.020516747482181057,0.057606469489857925,1,demographic_parity micro
0.226,0.26100795788595,0.32367581364650244,0.06021846163240219,0.020516747510546014,0.0576064695345786,1,demographic_parity micro
0.227,0.26100795788178466,0.323675813629421,0.06021846166202216,0.020516747539929697,0.0576064695809102,1,demographic_parity micro
0.228,0.261007957877465,0.323675813611742,0.06021846169260292,0.020516747570276567,0.057606469628766144,1,demographic_parity micro
0.229,0.2610079578729986,0.3236758135934962,0.060218461724094174,0.02051674760153342,0.057606469678063155,1,demographic_parity micro
0.23,0.2610079578683919,0.323675813574714,0.06021846175644607,0.020516747633647248,0.057606469728719745,1,demographic_parity micro
0.231,0.2610079578636516,0.32367581355542496,0.060218461789610656,0.02051674766656732,0.05760646978065731,1,demographic_parity micro
0.232,0.2610079578587843,0.32367581353565666,0.060218461823544844,0.020516747700246363,0.05760646983380139,1,demographic_parity micro
0.233,0.2610079578537965,0.32367581351543795,0.06021846185820068,0.020516747734634022,0.05760646988807575,1,demographic_parity micro
0.234,0.26100795784869424,0.3236758134947956,0.06021846189353719,0.020516747769685817,0.057606469943410156,1,demographic_parity micro
0.23500000000000001,0.2610079578434842,0.32367581347375607,0.06021846192951008,0.020516747805354618,0.057606469999733255,1,demographic_parity micro
0.23600000000000002,0.26100795783817177,0.32367581345234486,0.06021846196608127,0.020516747841598366,0.05760647005697813,1,demographic_parity micro
0.23700000000000002,0.261007957832763,0.3236758134305876,0.060218462003208795,0.020516747878372748,0.05760647011507728,1,demographic_parity micro
0.23800000000000002,0.2610079578272634,0.32367581340850915,0.06021846204085335,0.02051674791563483,0.057606470173964475,1,demographic_parity micro
0.23900000000000002,0.2610079578216785,0.32367581338613316,0.060218462078976964,0.020516747953344478,0.057606470233577234,1,demographic_parity micro
0.24,0.26100795781601505,0.3236758133634846,0.060218462117542004,0.020516747991460693,0.057606470293852054,1,demographic_parity micro
0.241,0.2610079578102764,0.32367581334058604,0.06021846215650917,0.020516748029941818,0.05760647035472558,1,demographic_parity micro
0.242,0.26100795780446906,0.3236758133174614,0.06021846219584326,0.020516748068750073,0.05760647041613839,1,demographic_parity micro
0.243,0.2610079577985992,0.3236758132941332,0.06021846223550964,0.02051674810784765,0.05760647047803147,1,demographic_parity micro
0.244,0.26100795779333086,0.3236758132729579,0.060218462271409146,0.02051674814343124,0.057606470534335465,1,demographic_parity micro
0.245,0.26100795778853025,0.32367581325347017,0.06021846230435868,0.020516748176251858,0.05760647058624713,1,demographic_parity micro
0.246,0.2610079577836594,0.3236758132337738,0.060218462337660816,0.020516748209366147,0.0576064706386461,1,demographic_parity micro
0.247,0.26100795777872365,0.3236758132138903,0.06021846237128248,0.02051674824273882,0.05760647069147695,1,demographic_parity micro
0.248,0.261007957773728,0.32367581319384053,0.0602184624051888,0.02051674827633419,0.05760647074468506,1,demographic_parity micro
0.249,0.2610079577686779,0.3236758131736458,0.06021846243934614,0.020516748310117332,0.0576064707982152,1,demographic_parity micro
0.25,0.261007957763578,0.32367581315332583,0.060218462473722534,0.020516748344055296,0.05760647085201587,1,demographic_parity micro
0.251,0.26100795775843266,0.32367581313290106,0.060218462508283555,0.020516748378113254,0.05760647090603355,1,demographic_parity micro
0.252,0.2610079577532487,0.32367581311239435,0.06021846254299368,0.02051674841225472,0.057606470960209176,1,demographic_parity micro
0.253,0.26100795774803465,0.32367581309184235,0.060218462577790954,0.02051674844641867,0.05760647101444838,1,demographic_parity micro
0.254,0.2610079577427906,0.3236758130712426,0.06021846261268171,0.020516748480610008,0.05760647106875746,1,demographic_parity micro
0.255,0.2610079577375203,0.3236758130506142,0.06021846264763209,0.020516748514795884,0.05760647112308659,1,demographic_parity micro
0.256,0.26100795773222973,0.32367581302997517,0.06021846268261577,0.020516748548949304,0.05760647117739085,1,demographic_parity micro
0.257,0.26100795772692154,0.32367581300934356,0.060218462717598564,0.02051674858303824,0.05760647123162169,1,demographic_parity micro
