slack,micro_loss,macro_loss,max_acc_diff,max_mean_tpr_diff,max_mean_j_diff,adj,setup
0.0,0.5854553147151236,0.6220728434348337,0.009198215001953447,1.989149585786739e-15,2.8495724298712353e-15,1,odds macro
0.001,0.5486919063136135,0.6166968430814379,0.019652251345011307,0.0003333312056854794,0.0013333317015740143,1,odds macro
0.002,0.5119283877828414,0.6113208555569913,0.030106338678480005,0.0006666656637863236,0.0026666658133014756,1,odds macro
0.003,0.475164904515041,0.6059448638936888,0.040560410057409735,0.0009999999994660298,0.00400000000110079,1,odds macro
0.004,0.4384014347922778,0.6005688707801926,0.05101447499348599,0.0013333333332280113,0.005333333333204737,1,odds macro
0.005,0.4016379643093472,0.5951928774911341,0.06146854007168123,0.0016666665996693832,0.006666666618654819,1,odds macro
0.006,0.367812237487982,0.58989377903614,0.07092997846514437,0.0019999999996578644,0.007999999999912225,1,odds macro
0.007,0.3678874971659637,0.5885192974145736,0.07142690205058111,0.00304486225230104,0.00887491766185311,1,odds macro
0.008,0.3682004778553024,0.5879241521791971,0.0727703826908247,0.004409094042925906,0.011157020314689866,1,odds macro
0.009000000000000001,0.3685134575641198,0.5873290067186936,0.07411386350016014,0.005773325891179261,0.013439124662872485,1,odds macro
0.01,0.36882644040325285,0.5867338610714088,0.0754573435490361,0.007137558133620974,0.015721229128175713,1,odds macro
0.011,0.36913942218704143,0.5861387154566102,0.07680082383180875,0.008501790268376068,0.018003333162104857,1,odds macro
0.012,0.3694524064101572,0.5855435698435418,0.07814430340270218,0.009866022518449322,0.020285437408777085,1,odds macro
0.013000000000000001,0.3697653844053471,0.5849484244087615,0.07948778455342076,0.011230254162879998,0.022567541342546498,1,odds macro
0.014,0.3700783621984509,0.5843532789466621,0.08083126580580813,0.012594485856719448,0.024849645290518623,1,odds macro
0.015,0.37039134160924203,0.5837581334574482,0.0821747465268391,0.013958717663494422,0.02713174847413073,1,odds macro
0.016,0.3707043330900469,0.5831629875477282,0.0835182244350684,0.0153229507744332,0.029413855272127993,1,odds macro
0.017,0.3710172999058914,0.5825678423398708,0.08486170844635077,0.016687181456085245,0.031695956245297606,1,odds macro
0.018000000000000002,0.37123983412684947,0.5819892633583725,0.08613290841808308,0.018000000483032585,0.0338943227165737,1,odds macro
0.019,0.37091201106848026,0.5815114824997933,0.08696433888211319,0.019000000005078916,0.035583196237352545,1,odds macro
0.02,0.3705841939031085,0.5810337015314664,0.08779576778838827,0.02000000000586936,0.03727207005184504,1,odds macro
0.021,0.37025637702239245,0.5805559205509003,0.08862719660622875,0.021000000026761365,0.03896094390608573,1,odds macro
0.022,0.3699285608731755,0.5800781395818511,0.08945862516395187,0.02200000005142543,0.04064981749942179,1,odds macro
0.023,0.36960074227444184,0.5796003586293395,0.09029005454719996,0.023000000000182947,0.04233869147037739,1,odds macro
0.024,0.3692729251030581,0.5791225776614874,0.09112148345470028,0.02400000000021608,0.04402756528312831,1,odds macro
0.025,0.3683745813753362,0.5786872511960699,0.09220811799259143,0.025000000002225745,0.045678440550107204,1,odds macro
0.026000000000000002,0.364988345379043,0.578437056292364,0.09440762398900493,0.025999997303419148,0.04716361178038527,1,odds macro
0.027,0.36160209896135254,0.5781868615159302,0.09660713774152996,0.02699999898100738,0.0486487887021286,1,odds macro
0.028,0.3582158548983798,0.577936666649125,0.09880665122616206,0.027999999835271783,0.05013396464033448,1,odds macro
0.029,0.3548296123271567,0.5776864717935888,0.10100616293431852,0.028999999999011917,0.05161913964003199,1,odds macro
0.03,0.3514433700537527,0.5774362769454586,0.10320567417142912,0.029999999999470436,0.053104314412991606,1,odds macro
0.031,0.3480571473165204,0.5771860827542765,0.10540514419262437,0.030999985082088805,0.05458946784345516,1,odds macro
0.032,0.3446708842298041,0.5769358871792314,0.10760469733167044,0.03199999985178933,0.05607466365631786,1,odds macro
0.033,0.34128464325389785,0.5766856923949022,0.10980420788365641,0.03299999999968592,0.05755983873265347,1,odds macro
0.034,0.33789840098942714,0.5764354975448414,0.11200371911945672,0.03399999999678069,0.05904501350183722,1,odds macro
0.035,0.33451215872153883,0.5761853026949455,0.11420323035598046,0.03499999999100028,0.06053018826672063,1,odds macro
0.036000000000000004,0.3311259164395369,0.5759351078448531,0.11640274158723918,0.035999999986387275,0.062015363032297634,1,odds macro
0.037,0.3277396742205613,0.5756849129990949,0.11860225279341596,0.03699999994148685,0.06350053774254209,1,odds macro
0.038,0.3243534318946616,0.5754347181602275,0.12080176387955066,0.03799999988468878,0.06498571242113875,1,odds macro
0.039,0.32096719185017963,0.5751845238705817,0.12300126606408512,0.038999994785994335,0.06647087953373254,1,odds macro
0.04,0.31758094740278586,0.5749343284432442,0.12520078652895783,0.03999999997354306,0.06795606210814949,1,odds macro
0.041,0.3160179587754608,0.5747939852174235,0.12634502562377103,0.04018330344474322,0.06833091539293264,1,odds macro
0.042,0.3153499744348812,0.5747075662938874,0.12697124954589034,0.03996570445914029,0.068160730703355,1,odds macro
0.043000000000000003,0.3151146493868857,0.5746405967010868,0.12699124963751784,0.03951064823954358,0.06766062506305937,1,odds macro
0.044,0.3152452712680125,0.5745900775157642,0.12649850016241382,0.038854748575836644,0.06688146935816615,1,odds macro
0.045,0.31537589561279744,0.5745395585670954,0.12600575643073153,0.038198850788620196,0.06610231591469236,1,odds macro
0.046,0.31550651535304186,0.5744890391734956,0.12551300184386893,0.03754294943756983,0.06532315817597856,1,odds macro
0.047,0.31563713699692686,0.5744385199722462,0.12502025193743282,0.03688704978521131,0.06454400247592362,1,odds macro
