slack,micro_loss,macro_loss,max_acc_diff,max_mean_tpr_diff,max_mean_j_diff,adj,setup
0.899,0.21677852372633388,0.21739454467009856,0.06894150407765587,0.060437537219197715,0.07833107250782749,1,odds macro
0.9,0.2167785237267872,0.2173945446703336,0.0689415040797351,0.060437537220433414,0.07833107250956277,1,odds macro
0.901,0.2167785237272073,0.21739454467052832,0.06894150408184463,0.06043753722172955,0.07833107251136666,1,odds macro
0.902,0.21677852372759165,0.21739454467068042,0.06894150408398914,0.060437537223090844,0.07833107251324511,1,odds macro
0.903,0.2167785237279377,0.21739454467078667,0.06894150408617317,0.06043753722452165,0.07833107251520377,1,odds macro
0.904,0.21677852372824202,0.21739454467084451,0.06894150408840194,0.060437537226027224,0.07833107251724888,1,odds macro
0.905,0.21677852372850182,0.21739454467085073,0.06894150409068134,0.0604375372276128,0.07833107251938735,1,odds macro
0.906,0.2167785237287141,0.2173945446708021,0.06894150409301725,0.0604375372292842,0.07833107252162641,1,odds macro
0.907,0.21677852372887552,0.21739454467069563,0.068941504095416,0.060437537231047854,0.07833107252397395,1,odds macro
0.908,0.21677852372898232,0.21739454467052788,0.06894150409788502,0.060437537232910635,0.078331072526439,1,odds macro
0.909,0.21677852372903106,0.2173945446702944,0.06894150410043132,0.06043753723487977,0.07833107252903027,1,odds macro
0.91,0.2167785237290174,0.21739454466999175,0.06894150410306421,0.06043753723696386,0.07833107253175871,1,odds macro
0.911,0.21677852372893724,0.21739454466961516,0.0689415041057928,0.06043753723917196,0.07833107253463574,1,odds macro
0.912,0.2167785237287858,0.21739454466915986,0.06894150410862765,0.06043753724151455,0.07833107253767455,1,odds macro
0.913,0.21677852372855766,0.21739454466862074,0.06894150411158129,0.0604375372440036,0.07833107254088989,1,odds macro
0.914,0.21677852372824746,0.2173945446679919,0.06894150411466637,0.06043753724665164,0.07833107254429783,1,odds macro
0.915,0.216778523727848,0.21739454466726593,0.06894150411789923,0.06043753724947469,0.07833107254791827,1,odds macro
0.916,0.2167785237273524,0.21739454466643593,0.06894150412129729,0.06043753725248986,0.07833107255177288,1,odds macro
0.917,0.21677852372675233,0.2173945446654929,0.06894150412488131,0.06043753725571736,0.07833107255588664,1,odds macro
0.918,0.216778523726038,0.2173945446644272,0.06894150412867484,0.06043753725918057,0.07833107256028926,1,odds macro
0.919,0.21677852372519857,0.21739454466322727,0.06894150413270639,0.06043753726290737,0.07833107256501556,1,odds macro
0.92,0.21677852372422046,0.21739454466187902,0.06894150413700861,0.06043753726693015,0.0783310725701059,1,odds macro
0.921,0.2167785237230888,0.21739454466036712,0.06894150414162092,0.060437537271287645,0.07833107257560937,1,odds macro
0.922,0.2167785237217854,0.21739454465867247,0.06894150414659028,0.0604375372760261,0.07833107258158348,1,odds macro
0.923,0.21677852372028827,0.21739454465677244,0.06894150415197253,0.0604375372812012,0.07833107258809831,1,odds macro
0.924,0.2167785237185712,0.21739454465463903,0.06894150415783695,0.06043753728688075,0.07833107259523846,1,odds macro
0.925,0.21677852371660167,0.21739454465223929,0.06894150416426614,0.06043753729314656,0.07833107260310693,1,odds macro
0.926,0.2167785237143408,0.217394544649532,0.06894150417136269,0.06043753730010024,0.07833107261183074,1,odds macro
0.927,0.21677852371173933,0.21739454464646613,0.06894150417925382,0.060437537307867405,0.07833107262156735,1,odds macro
0.928,0.2167785237087574,0.217394544643002,0.06894150418809764,0.06043753731658981,0.07833107263249794,1,odds macro
0.929,0.21677852370533623,0.21739454463908003,0.06894150419808931,0.06043753732645034,0.07833107264485406,1,odds macro
0.93,0.21677852370134587,0.21739454463456132,0.06894150420948075,0.06043753733772348,0.07833107265897352,1,odds macro
0.931,0.21677852369665984,0.21739454462931396,0.06894150422259804,0.060437537350731804,0.07833107267526085,1,odds macro
0.932,0.2167785236999359,0.2173945446323443,0.0689415042354593,0.060437537364180824,0.07833107269197086,1,odds macro
0.933,0.2167785237061325,0.21739454463841956,0.06894150424593015,0.06043753737541879,0.07833107270588088,1,odds macro
0.934,0.2167785237116424,0.21739454464378694,0.06894150425485257,0.060437537384999906,0.07833107271773732,1,odds macro
0.935,0.2167785237166293,0.21739454464861552,0.0689415042626037,0.06043753739332778,0.07833107272804032,1,odds macro
0.936,0.21677852372121253,0.21739454465302777,0.06894150426945567,0.06043753740069513,0.07833107273715231,1,odds macro
0.937,0.21677852372547923,0.2173945446571136,0.06894150427560874,0.06043753740731683,0.07833107274533968,1,odds macro
0.9380000000000001,0.21677852372949458,0.21739454466094033,0.06894150428121237,0.060437537413354114,0.07833107275280193,1,odds macro
0.9390000000000001,0.2167785237333083,0.2173945446645591,0.06894150428637946,0.0604375374189279,0.07833107275968891,1,odds macro
